Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"Kernel2(bool*, bool*, bool*, bool*, int)",1003611390,34047,1954,1,1,512,1,1,11,0,0,0,3.125,100,9398772,38666549182,29371163391,11278526,100,0,0,29371163391,32.092,31250,12,0,4,0,0,0,0,0,2000445,0,0,6002243,0,1000012,23,0,31335,10,6000908,41140,0,0,93764,93.746,3759508,0,21617176,29451052956,0,11278526,0,0,0,12,0,0,0,31250,0,31262,0,0,31.745,49.721,0,5.7,0,0,0,500139,566633,0,Low (1),0,Idle,0,440089,0,Low (1),Idle,4.919,Low (1),Low (1),Mid (4),Low (2),Low (1),9886,3.171,9291626281,2.285,0,2.459,0.774,0
"Kernel2(bool*, bool*, bool*, bool*, int)",1828770334,34062,1954,1,1,512,1,1,11,0,0,0,3.338,100,45094239,38705889260,29358229111,82672773,100,0,0,29358229111,32.008,31250,88,0,6,0,0,0,0,0,2000424,0,0,6002264,0,1000096,95,0,31341,48,6000992,41200,0,0,93764,93.715,5636779,0,89249016,29443720274,0,82672773,0,0,0,88,0,0,0,31250,0,31338,0,0,32.019,49.556,0,5.712,0,0,0,500310,566798,0,Low (1),0,Idle,0,440219,0,Low (1),Idle,4.856,Low (1),Low (1),Mid (4),Low (2),Low (1),9966,3.034,9362691562,2.367,0,2.456,0.774,0
"Kernel2(bool*, bool*, bool*, bool*, int)",2735334366,34167,1954,1,1,512,1,1,11,0,0,0,3.536,100,224778294,38600989258,29268007141,427078760,100,0,0,29268007141,31.966,31250,456,0,5,0,0,0,0,0,2000314,0,0,6002374,0,1000536,466,0,31360,240,6001432,41215,0,0,93764,93.566,4682881,0,436444522,29371030526,0,427078760,0,0,0,456,0,0,0,31250,0,31706,0,0,31.774,49.256,0,5.602,0,0,0,501138,567598,0,Low (1),0,Idle,0,440849,0,Low (1),Idle,4.817,Low (1),Low (1),Mid (4),Low (2),Low (1),10076,3.206,9436942078,2.822,0,2.524,0.773,0
"Kernel2(bool*, bool*, bool*, bool*, int)",3913929630,34982,1954,1,1,512,1,1,11,0,0,0,3.499,100,1702361214,38146246641,28586130009,2521067977,100,0,0,28586130009,31.519,31250,2756,0,5,0,0,0,0,0,1999649,0,0,6003039,0,1003196,3040,0,31356,1861,6004092,41701,0,0,93764,92.643,4573780,0,2780858727,28683094162,0,2521067977,0,0,0,2756,0,0,0,31250,0,34006,0,0,31.799,49.215,0,5.508,0,0,0,506313,572767,0,Low (1),0,Idle,0,444871,0,Low (1),Idle,4.828,Low (1),Low (1),Mid (4),Low (2),Low (1),11076,3.275,10131839231,2.805,0,2.57,0.757,0
"Kernel2(bool*, bool*, bool*, bool*, int)",4724525854,37128,1954,1,1,512,1,1,11,0,0,0,3.66,100,13441930618,43584572290,26933850463,12831717302,100,0,0,26933850463,30.941,31250,14888,0,1,0,0,0,0,0,1995877,0,0,6006811,0,1018284,20179,0,31362,15596,6019180,50569,0,0,93764,88.08,861883,0,17391941391,27030381383,0,12831717302,0,0,0,14888,0,0,0,31250,0,46138,0,0,32.576,50.163,0,4.909,0,0,0,533610,600076,0,Low (1),0,Idle,0,466108,0,Low (1),Idle,4.606,Low (1),Low (2),Mid (4),Low (2),Low (1),20641,3.178,17790131437,2.211,0,2.357,0.731,0
"Kernel2(bool*, bool*, bool*, bool*, int)",5538836062,42213,1954,1,1,512,1,1,11,0,0,0,4.509,100,47106625920,61438514201,23689384786,48476440906,100,0,0,23689384786,31.98,31250,63948,0,1,0,0,0,0,0,1975021,0,0,6027667,0,1101708,92237,0,31355,62141,6102604,81047,0,0,93764,73.792,758060,0,69921209106,23768981119,0,48476440906,0,0,0,63948,0,0,0,31250,0,95198,0,0,33.013,51.527,0,3.24,0,0,0,643995,710447,0,Low (1),0,Idle,0,551956,0,Low (2),Idle,3.8,Low (1),Low (3),Low (3),Mid (4),Low (1),39377,3.66,29850140951,1.874,0,2.885,0.749,0
"Kernel2(bool*, bool*, bool*, bool*, int)",6761341246,66095,1954,1,1,512,1,1,11,0,0,0,10.81,100,52289825251,53846856797,15129737499,59407337922,100,0,0,15129737499,26.464,31250,122704,0,1,0,0,0,0,0,1869187,0,0,6133501,0,1525044,178053,0,31358,108003,6525940,111219,0,0,93764,64.633,484151,0,86204644829,15182025871,0,59407337922,0,0,0,122704,0,0,0,31250,0,221013,0,0,23.403,61.024,0,1.21,0,0,0,776196,915579,0,Low (1),0,Idle,0,727709,0,Low (2),Idle,2.534,Low (1),Mid (4),Low (3),Mid (4),Low (1),46592,4.113,22557591345,1.224,3.904,2.589,0.79,0
"Kernel2(bool*, bool*, bool*, bool*, int)",7814997790,67211,1954,1,1,512,1,1,11,0,0,0,34.595,100,52210977369,53566945886,14878516909,59514067637,100,0,0,14878516909,26.389,31250,125000,0,1,0,0,0,0,0,1549598,0,0,6453090,0,2803400,181381,0,31358,109661,7804296,112509,0,0,93764,74.431,476112,0,86357768817,14929937063,0,59514067637,0,0,0,125000,0,0,0,31250,0,233165,0,0,23.418,61.01,0,1.153,0,0,0,781362,928676,0,Low (1),0,Idle,0,739651,0,Low (2),Idle,2.525,Low (1),Mid (4),Low (3),Mid (4),Low (1),46841,4.25,22301587537,1.087,4.064,2.493,0.79,0
"Kernel2(bool*, bool*, bool*, bool*, int)",8992506590,67237,1954,1,1,512,1,1,11,0,0,0,28.504,100,52160804319,53481029790,14872763508,59489150319,100,0,0,14872763508,26.458,31250,124996,0,1,0,0,0,0,0,1630820,0,0,6371868,0,2478512,181378,0,31358,109598,7479408,112372,0,0,93764,71.833,475928,0,86322947186,14924163778,0,59489150319,0,0,0,124996,0,0,0,31250,0,231998,0,0,23.3,61.048,0,1.151,0,0,0,781353,930016,0,Low (1),0,Idle,0,740996,0,Low (2),Idle,2.478,Low (1),Mid (4),Low (3),Mid (4),Low (1),46676,4.146,22214435504,1.187,4.127,2.563,0.788,0
"Kernel2(bool*, bool*, bool*, bool*, int)",9963784606,40793,1954,1,1,512,1,1,11,0,0,0,4.035,100,39360478513,57656166499,24514009756,39043561395,100,0,0,24514009756,31.781,31250,49772,0,1,0,0,0,0,0,1983175,0,0,6019513,0,1069092,71421,0,31358,50176,6069988,73499,0,0,93764,77.305,784448,0,56026082906,24598730174,0,39043561395,0,0,0,49772,0,0,0,31250,0,81022,0,0,32.959,51.202,0,3.706,0,0,0,612099,678563,0,Low (1),0,Idle,0,527154,0,Low (2),Idle,4.217,Low (1),Low (2),Low (3),Mid (4),Low (1),36705,3.304,28793175299,1.958,0,2.653,0.743,0
