Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"kernel(void)",176845443,18509,51,1,1,256,1,1,32,11872,0,0,81.777,57.06,36152790534,23352098978,53446863687,35082608460,99.538,0,0,53301637041,31.71,19035,8266,0,10,0,0,0,0,0,158712,0,369750,356745,0,596343,20351,26112,31467,20911,4725201,13507,0,0,15796,85.956,17288886,0,35184612891,54402939110,0,35082608460,0,0,0,20292,0,0,0,30830,0,32610,0,0,29.248,43.965,26112,4.327,0,0,0,227970,280998,0,Low (1),0,Idle,0,201734,0,Low (2),Idle,1.483,Low (1),Low (3),Mid (4),Low (3),Low (1),8882,4.892,15355988978,5.906,6.629,3.55,0.378,0
"kernel(void)",1797797731,24934702,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12035343193,7635541503,168085029129,8561311861,77.15,0.01,0,168092405836,27.426,65996589,4300728,0,9,0,0,36405126,5151,373764733823,495940677,3290514,69641673,83690030,0,1887066605,6679968,1010953824,130989641,9378053,3305532792,5949686,0,0,54001060,74.114,11550,0,8572750378,168105819431,52884369,8571504243,0,0,5718834,6678997,0,890453982,0,130979189,97165455,111628925,0,2.992,31.07,37.177,13232715,8.075,0,0,0,291943482,434160608,0,Low (1),0,Idle,0,286126391,0,Mid (4),Idle,1.181,Low (2),Mid (5),Low (3),Low (1),Low (1),5114645,3.817,6563889955,0.005,9.925,5.757,0.427,0
"kernel(void)",11453288355,24935604,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12026689548,7631469283,168078948959,8561002171,77.15,0.01,0,168086294601,27.413,65996589,4300728,0,2,0,0,36405126,5151,373751213565,495940677,3287828,69641673,83690032,0,1887066607,6680110,1010953824,130990446,9371649,3305532769,5946728,0,0,54003676,74.114,2566,0,8572622503,168100771571,52882456,8570865658,0,0,5718834,6678741,0,890453982,0,130979165,97165455,111631928,0,2.99,31.059,37.172,13232715,8.075,0,0,0,291943482,434153892,0,Low (1),0,Idle,0,286121859,0,Mid (4),Idle,1.18,Low (2),Mid (5),Low (3),Low (1),Low (1),5104293,3.813,6550367739,0.005,9.953,5.752,0.427,0
"kernel(void)",21119672259,24936314,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12050838307,7629814735,168074163326,8560758418,77.15,0.01,0,168081806477,27.415,65996589,4300728,0,1,0,0,36405126,5151,373740571922,495940682,3444294,69641672,83690024,0,1887066598,6679628,1010953820,130990738,9390734,3305532802,5945608,0,0,54004343,74.114,1283,0,8571759883,168096360031,52880951,8571119532,0,0,5718834,6679129,0,890453975,0,130979397,97165455,111629632,0,2.975,31.076,37.192,13232714,8.077,0,0,0,291943512,434159814,0,Low (1),0,Idle,0,286126751,0,Mid (4),Idle,1.181,Low (2),Mid (5),Low (3),Low (1),Low (1),5124741,3.811,6576421519,0.005,9.933,5.749,0.427,0
"kernel(void)",30835881155,24935505,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12029708161,7631327618,168079616274,8561036161,77.15,0.01,0,168087470135,27.408,65996589,4300728,0,5,0,0,36405126,5151,373752697448,495940677,3413606,69641673,83689997,0,1887066572,6679993,1010953824,130989743,9373964,3305532834,5946594,0,0,54005483,74.114,6416,0,8572506391,168100536804,52882666,8570917653,0,0,5718834,6678755,0,890453982,0,130979561,97165455,111630497,0,2.987,31.069,37.185,13232715,8.076,0,0,0,291943482,434151590,0,Low (1),0,Idle,0,286121254,0,Mid (4),Idle,1.182,Low (2),Mid (5),Low (3),Low (1),Low (1),5104222,3.823,6550302630,0.005,9.919,5.753,0.427,0
"kernel(void)",40637566723,24934176,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12030152991,7637193865,168088574974,8561492467,77.15,0.01,0,168096121243,27.411,65996589,4300728,0,9,0,0,36405126,5151,373772618593,495940682,3385554,69641672,83689989,0,1887066563,6680263,1010953820,130989706,9373811,3305532749,5950848,0,0,53997234,74.114,11550,0,8573309821,168109449135,52885485,8572388355,0,0,5718834,6679545,0,890453975,0,130979321,97165455,111636166,0,2.974,31.067,37.181,13232714,8.073,0,0,0,291943512,434166639,0,Low (1),0,Idle,0,286130014,0,Mid (4),Idle,1.182,Low (2),Mid (5),Low (3),Low (1),Low (1),5117785,3.813,6568058234,0.005,9.952,5.752,0.427,0
"kernel(void)",50317882435,24955139,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12031422626,7622179303,167947375969,8554300579,77.15,0.01,0,167954777410,27.412,65996589,4300728,0,5,0,0,36405126,5151,373458639360,495940682,3285255,69641672,83689980,0,1887066554,6680210,1010953820,130990416,9382682,3305532774,5944142,0,0,54003746,74.114,6411,0,8566040044,167969143029,52841060,8564451273,0,0,5718834,6678971,0,890453975,0,130979213,97165455,111627661,0,2.986,31.083,37.143,13232714,8.082,0,0,0,291943512,434161071,0,Low (1),0,Idle,0,286129124,0,Mid (4),Idle,1.182,Low (2),Mid (5),Low (3),Low (1),Low (1),5141266,3.813,6592650595,0.005,9.943,5.761,0.427,0
"kernel(void)",60018364259,24933432,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12051968136,7632380492,168093590645,8561747937,77.15,0.01,0,168100916392,27.409,65996589,4300728,0,1,0,0,36405126,5151,373783771764,495940677,3388221,69641673,83689971,0,1887066546,6679973,1010953824,130991384,9390529,3305532723,5946920,0,0,54000872,74.114,1283,0,8573193453,168116619003,52887063,8572348965,0,0,5718834,6679315,0,890453982,0,130979149,97165455,111628863,0,3.002,31.05,37.182,13232715,8.071,0,0,0,291943482,434163383,0,Low (1),0,Idle,0,286128436,0,Mid (4),Idle,1.181,Low (2),Mid (5),Low (3),Low (1),Low (1),5122822,3.815,6574718795,0.005,9.941,5.753,0.427,0
"kernel(void)",69724999075,24931986,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12043812314,7629605439,168103339701,8562244499,77.15,0.01,0,168110968777,27.408,65996589,4300728,0,5,0,0,36405126,5151,373805450396,495940682,3280605,69641672,83689959,0,1887066533,6680039,1010953820,130990928,9383630,3305532658,5944413,0,0,53999081,74.114,6417,0,8573775390,168125784123,52890130,8572163324,0,0,5718834,6678783,0,890453975,0,130979385,97165455,111630922,0,2.982,31.063,37.183,13232714,8.073,0,0,0,291943512,434161699,0,Low (1),0,Idle,0,286127871,0,Mid (4),Idle,1.182,Low (2),Mid (5),Low (3),Low (1),Low (1),5111742,3.807,6560879025,0.005,9.946,5.757,0.427,0
"kernel(void)",79485345347,24934576,51,1,1,256,1,1,32,11872,0,37.357,53.95,69.18,12044993265,7631238485,168085878500,8561355123,77.15,0.01,0,168093542717,27.405,65996589,4300728,0,9,0,0,36405126,5151,373766622540,495940677,3416300,69641673,83689948,0,1887066523,6679864,1010953824,130993825,9385525,3305532715,5946303,0,0,54001243,74.114,11550,0,8572660228,168112038480,52884636,8571709260,0,0,5718834,6679123,0,890453982,0,130979413,97165455,111634225,0,3.002,31.057,37.177,13232715,8.073,0,0,0,291943482,434164634,0,Low (1),0,Idle,0,286130272,0,Mid (4),Idle,1.182,Low (2),Mid (5),Low (3),Low (1),Low (1),5115869,3.805,6565493955,0.005,9.942,5.755,0.427,0
