Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",47476936,294773,8,128,1,64,4,1,30,0,0,0,100,92.693,35202355711,71258846637,184086765070,28457857402,99.97,0,0,184086765070,62.011,516096,65536,0,9,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262171,35651584,1695906,324272,94107648,656412,0,0,414144,99.404,977022,0,28460788471,184104351484,0,28457857402,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.347,42.04,0,6.467,0,0,0,8704064,9850162,0,Low (1),0,Idle,0,7912103,0,Mid (4),Idle,4.491,Low (1),Low (2),Mid (6),Mid (4),Low (1),192457,2.261,20892768333,0.195,1.578,5.621,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",550977704,294761,8,128,1,64,4,1,30,0,0,0,100,92.693,35216707773,71294967787,184094259416,28459015948,99.97,0,0,184094259416,61.82,516096,65536,0,6,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262163,35651584,1696017,324391,94107648,656718,0,0,414140,99.404,651375,0,28461078636,184123896987,0,28459015948,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.316,42.128,0,6.449,0,0,0,8704064,9849650,0,Low (1),0,Idle,0,7911537,0,Mid (4),Idle,4.48,Low (1),Low (2),Mid (6),Mid (4),Low (1),192869,2.245,20938346660,0.2,1.575,5.607,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",1063166056,294629,8,128,1,64,4,1,30,0,0,0,100,92.693,35235526713,71291936638,184176737524,28471766187,99.97,0,0,184176737524,61.978,516096,65536,0,4,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262158,35651584,1696195,324419,94107648,656396,0,0,414160,99.404,434444,0,28473286743,184225721161,0,28471766187,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.269,42.032,0,6.586,0,0,0,8704064,9849291,0,Low (1),0,Idle,0,7911329,0,Mid (4),Idle,4.484,Low (1),Low (2),Mid (6),Mid (4),Low (1),192517,2.253,20909496349,0.197,1.574,5.606,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",1568013032,294781,8,128,1,64,4,1,30,0,0,0,100,92.693,35210301885,71320526085,184081769177,28457085090,99.97,0,0,184081769177,61.873,516096,65536,0,5,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262170,35651584,1696203,324354,94107648,656998,0,0,414146,99.404,542775,0,28459907524,184131595998,0,28457085090,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.298,42.148,0,6.453,0,0,0,8704064,9849497,0,Low (1),0,Idle,0,7911661,0,Mid (4),Idle,4.484,Low (1),Low (2),Mid (6),Mid (4),Low (1),193092,2.251,20961133858,0.195,1.573,5.598,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",2080142728,294702,8,128,1,64,4,1,30,0,0,0,100,92.693,35209968035,71256469246,184131115499,28464713507,99.97,0,0,184131115499,61.895,516096,65536,0,0,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262160,35651584,1696194,324264,94107648,656232,0,0,414126,99.404,0,0,28466450855,184179978418,0,28464713507,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.253,42.059,0,6.599,0,0,0,8704064,9849574,0,Low (1),0,Idle,0,7911694,0,Mid (4),Idle,4.474,Low (1),Low (2),Mid (6),Mid (4),Idle,192235,2.247,20873696140,0.193,1.572,5.604,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",2559863912,294804,8,128,1,64,4,1,30,0,0,0,100,92.693,35212656544,71369886433,184067407497,28454864927,99.97,0,0,184067407497,61.925,516096,65536,0,5,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262167,35651584,1696237,324401,94107648,657504,0,0,414154,99.404,542733,0,28457361501,184120921018,0,28454864927,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.244,42.069,0,6.592,0,0,0,8704064,9849678,0,Low (1),0,Idle,0,7911765,0,Mid (4),Idle,4.479,Low (1),Low (2),Mid (6),Mid (4),Low (1),193761,2.249,21032116253,0.195,1.572,5.6,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",3043798248,294665,8,128,1,64,4,1,30,0,0,0,100,92.693,35211674274,71283769704,184154236166,28468287716,99.97,0,0,184154236166,61.908,516096,65536,0,8,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262153,35651584,1696136,324239,94107648,656401,0,0,414150,99.404,868783,0,28469265097,184196806543,0,28468287716,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.299,42.124,0,6.446,0,0,0,8704064,9849656,0,Low (1),0,Idle,0,7911776,0,Mid (4),Idle,4.49,Low (1),Low (2),Mid (6),Mid (4),Low (1),192572,2.252,20912914665,0.193,1.574,5.622,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",3529912360,294690,8,128,1,64,4,1,30,0,0,0,100,92.693,35219437374,71289884285,184138613458,28465872611,99.97,0,0,184138613458,61.921,516096,65536,0,6,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262162,35651584,1696200,324338,94107648,656513,0,0,414152,99.404,651532,0,28467827208,184188129899,0,28465872611,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.302,42.122,0,6.452,0,0,0,8704064,9848958,0,Low (1),0,Idle,0,7911020,0,Mid (4),Idle,4.495,Low (1),Low (2),Mid (6),Mid (4),Low (1),192569,2.253,20910814754,0.192,1.574,5.609,0.938,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",4013248488,294660,8,128,1,64,4,1,30,0,0,0,100,92.693,35219113554,71253485372,184157361026,28468770786,99.97,0,0,184157361026,61.928,516096,65536,0,9,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262151,35651584,1696380,324302,94107648,656111,0,0,414145,99.404,977397,0,28469530984,184226430462,0,28468770786,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.34,42.074,0,6.461,0,0,0,8704064,9849997,0,Low (1),0,Idle,0,7911934,0,Mid (4),Idle,4.492,Low (1),Low (2),Mid (6),Mid (4),Low (1),192272,2.25,20880689608,0.193,1.577,5.614,0.938,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",4498489704,294808,8,128,1,64,4,1,30,0,0,0,100,92.693,35215977856,71255705408,184064910043,28454478847,99.97,0,0,184064910043,61.937,516096,65536,0,1,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262163,35651584,1696278,324436,94107648,656461,0,0,414149,99.404,108545,0,28456541206,184122873192,0,28454478847,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.276,42.045,0,6.565,0,0,0,8704064,9849435,0,Low (1),0,Idle,0,7911453,0,Mid (4),Idle,4.484,Low (1),Low (2),Mid (6),Mid (4),Low (1),192596,2.248,20905375702,0.192,1.574,5.616,0.939,0
