Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"histo_kernel(unsigned char*, long, unsigned int*)",51287515,57347,30,1,1,256,1,1,8,1024,0,4.363,0,100,1142797356,0,571398678,0,36.108,57.369,0,941915008,12.36,1024,0,0,5,0,0,55217,55704,246491568870,462137,729872530,0,126976,0,550713,1789,0,2570,2048,323584,0,0,0,83631,21.661,2790032,0,998273667,1434076760,248665562278,398416656,0,1920,0,714,0,0,535686260,1688,0,115434,0,14.973,62.059,1.999,0,17.639,0,0,535686260,257143,263846,240,Low (1),0,Idle,0,259878,0,Low (1),Idle,0.154,Low (2),Low (3),Low (1),Low (1),Low (1),668,0.475,372748356,1.143,0.191,1.367,0.235,0
"histo_kernel(unsigned char*, long, unsigned int*)",447500859,55995,30,1,1,256,1,1,8,1024,0,4.355,0,100,1779587463,0,585195106,0,36.146,34.527,0,868648986,12.635,1024,0,0,1,0,0,55872,55342,255437664077,462215,9143673,0,126976,0,550791,1819,0,2500,3114,323584,0,0,0,83486,21.737,571479,0,1039521385,1428698990,253014590588,25145102,0,1920,0,44,0,0,548620412,1520,0,116228,0,15.949,61.965,1.975,0,17.09,0,0,548620412,253172,260967,240,Low (1),0,Idle,0,256999,0,Low (1),Idle,0.131,Low (2),Low (3),Low (1),Low (1),Low (1),1826,0.5,1043521743,1.08,0.174,1.135,0.238,0
"histo_kernel(unsigned char*, long, unsigned int*)",851671227,57073,30,1,1,256,1,1,8,1024,0,4.341,0,100,1605803094,0,574141888,0,36.237,50,0,971107178,12.306,1024,0,0,5,0,0,55952,55428,250971772992,460020,60554027,0,126976,0,548596,1110,0,2104,2864,323584,0,0,0,82521,21.682,2803427,0,622360836,1179682161,248621379636,177176598,0,1920,0,316,0,0,538258020,1732,0,116993,0,16.424,61.643,1.955,0,16.978,0,0,538258020,260338,262081,240,Low (1),0,Idle,0,258113,0,Low (1),Idle,0.144,Low (2),Low (3),Low (1),Low (1),Low (1),1904,0.499,1067545073,1.081,0.169,1.108,0.233,0
"histo_kernel(unsigned char*, long, unsigned int*)",1451808155,57122,30,1,1,256,1,1,8,1024,0,4.356,0,100,625748398,0,573649382,0,36.409,45.59,0,620706557,12.457,1024,0,0,5,0,0,55790,55489,250030461118,458304,1120408,0,126976,0,546880,1327,0,2128,1117,323584,0,0,0,83688,21.8,2801022,0,743391337,1192115122,248681488743,433598263,0,1920,0,774,0,0,537796295,1108,0,116029,0,15.312,62.159,1.982,0,17.067,0,0,537796295,259546,264836,240,Low (1),0,Idle,0,260868,0,Low (1),Idle,0.142,Low (2),Low (3),Low (1),Low (1),Low (1),0,0.518,0,1.088,0.171,1.56,0.233,0
"histo_kernel(unsigned char*, long, unsigned int*)",1967514683,57286,30,1,1,256,1,1,8,1024,0,4.363,0,100,1116642809,0,572007122,0,36.241,22.775,0,706071291,12.432,1024,0,0,5,0,0,55356,54752,247375205111,457170,1117201,0,126976,0,545746,1552,0,2508,1999,323584,0,0,0,83059,21.764,2793003,0,866948294,1400970568,244676046503,34633243,0,1920,0,62,0,0,536256677,1264,0,115070,0,15.559,62.266,2.005,0,17.15,0,0,536256677,254595,264481,240,Low (1),0,Idle,0,260513,0,Low (1),Idle,0.141,Low (2),Low (3),Low (1),Low (1),Low (1),1060,0.5,592116747,1.104,0.18,1.096,0.234,0
"histo_kernel(unsigned char*, long, unsigned int*)",2675998715,58230,30,1,1,256,1,1,8,1024,0,4.326,0,100,633075734,0,562733985,0,35.978,26.437,0,593508500,12.779,1024,0,0,5,0,0,56180,55474,246987463506,462149,15387257,0,126976,0,550725,1402,0,3048,1152,323584,0,0,0,83837,21.527,2747724,0,770461961,1675012879,243883633865,171458011,0,1920,0,312,0,0,527563111,1080,0,115568,0,16.73,61.433,1.947,0,16.948,0,0,527563111,260755,266120,240,Low (1),0,Idle,0,262152,0,Low (1),Idle,0.141,Low (2),Low (3),Low (1),Low (1),Low (1),294,0.487,161566202,1.074,0.181,1.058,0.237,0
"histo_kernel(unsigned char*, long, unsigned int*)",3520304507,57952,30,1,1,256,1,1,8,1024,0,4.361,0,100,573716178,0,565433462,0,36.65,26.118,0,596355604,12.362,1024,0,0,9,0,0,56346,55358,248905577029,459949,5521811,0,126976,0,548525,1000,0,3112,1039,323584,0,0,0,83830,21.895,4969630,0,552181115,1718387631,244541137493,168967421,0,1920,0,306,0,0,530093870,1080,0,117917,0,14.2,63.326,2.004,0,17.424,0,0,530093870,254945,260214,240,Low (1),0,Idle,0,256246,0,Low (1),Idle,0.143,Low (2),Low (3),Low (1),Low (1),Low (1),163,0.505,90005521,1.107,0.183,1.107,0.233,0
"histo_kernel(unsigned char*, long, unsigned int*)",4328524123,57456,30,1,1,256,1,1,8,1024,0,4.408,0,100,650515176,0,570314675,0,36.066,26.331,0,608187134,12.394,1024,0,0,5,0,0,55397,55118,246825953773,465422,22277917,0,126976,0,553998,998,0,3008,1168,323584,0,0,0,84116,21.609,2784739,0,555834029,1675299359,245582846003,165970481,0,1920,0,298,0,0,534670008,1092,0,118029,0,15.064,62.636,2.012,0,17.215,0,0,534670008,261104,266431,240,Low (1),0,Idle,0,262463,0,Low (1),Idle,0.155,Low (2),Low (3),Low (1),Low (1),Low (1),289,0.52,160957950,1.11,0.178,1.11,0.23,0
"histo_kernel(unsigned char*, long, unsigned int*)",4823695259,58156,30,1,1,256,1,1,8,1024,0,4.388,0,100,631130063,0,563450030,0,35.782,25.037,0,592062727,12.334,1024,0,0,9,0,0,55666,54524,245039136116,464127,3301465,0,126976,0,552703,1410,0,3012,1147,323584,0,0,0,83506,21.519,4952197,0,775844280,1657335442,240012105371,159570809,0,1920,0,290,0,0,528234404,1076,0,114781,0,15.595,62.174,1.989,0,17.185,0,0,528234404,257973,263334,240,Low (1),0,Idle,0,259366,0,Low (1),Idle,0.148,Low (2),Low (3),Low (1),Low (1),Low (1),259,0.503,142513240,1.1,0.192,1.115,0.233,0
"histo_kernel(unsigned char*, long, unsigned int*)",5643771131,57419,30,1,1,256,1,1,8,1024,0,4.391,0,100,644803984,0,570682178,0,36.603,25.146,0,597432905,12.426,1024,0,0,5,0,0,55227,55139,246227067695,460232,15604590,0,126976,0,548808,1378,0,3076,1157,323584,0,0,0,83417,21.951,2786534,0,767968790,1714275762,245834723697,164962817,0,1920,0,296,0,0,535014542,1072,0,114935,0,15.02,62.695,2.019,0,17.252,0,0,535014542,254223,264799,240,Low (1),0,Idle,0,260831,0,Low (1),Idle,0.14,Low (2),Low (3),Low (1),Low (1),Low (1),247,0.487,137654783,1.116,0.18,1.092,0.232,0
