Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",15146757307,121584,1024,1,1,256,1,1,19,16,3072,17.885,88.447,100,3102513488,5242005527,25872878010,2766679826,91.169,0.018,0,25872878010,45.036,24576,4096,0,1,0,0,331192,197631,697338070798,8689829,0,0,10165292,0,7712301,10895,0,98523,11788,35183624,19917,0,0,579709,79.968,263192,0,2867482563,25930517173,416120015791,2771943676,0,0,0,10532,0,0,0,98304,0,593820,0,47.274,27.394,2.798,0,10.37,0,0,0,2443815,2718171,0,Low (2),0,Idle,0,2359975,0,Low (1),Idle,1.13,Mid (4),Mid (5),Mid (4),Low (1),Low (1),7249,2.927,1907882616,0.339,4.17,3.597,0.941,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",15599105307,121744,1024,1,1,256,1,1,19,16,3072,17.884,88.447,100,3075305559,8017873570,25838875016,2763043763,91.17,0.007,0,25838875016,44.82,24576,4096,0,10,0,0,331181,197631,696398475489,8690358,0,0,10165292,0,7712830,10957,0,98518,11700,35183624,30504,0,0,579703,79.969,2628466,0,2880010513,25895124195,415573137074,2765146536,0,0,0,10520,0,0,0,98304,0,593869,0,47.29,27.426,2.803,0,10.369,0,0,0,2443794,2719366,0,Low (2),0,Idle,0,2360662,0,Low (1),Idle,1.128,Mid (4),Mid (5),Mid (4),Low (1),Low (1),4717,2.873,1239847548,0.346,4.176,3.588,0.941,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",16029153435,121622,1024,1,1,256,1,1,19,16,3072,17.886,88.447,100,3087862393,5187219417,25864794198,2765815395,91.171,0.022,0,25864794198,45.112,24576,4096,0,4,0,0,331188,197596,697111772541,8689923,0,0,10165292,0,7712395,10888,0,98432,11736,35183624,19715,0,0,579718,79.97,1052441,0,2864744865,25898472315,415916330926,2772130042,0,0,0,10536,0,0,0,98304,0,593901,0,47.303,27.385,2.816,0,10.342,0,0,0,2443737,2718262,0,Low (2),0,Idle,0,2359987,0,Low (1),Idle,1.127,Mid (4),Mid (5),Mid (4),Low (1),Low (1),6815,2.915,1793096643,0.345,4.166,3.599,0.942,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",16448414491,121717,1024,1,1,256,1,1,19,16,3072,17.891,88.447,100,3090447513,7882678672,25844606751,2763656679,91.169,0.018,0,25844606751,44.854,24576,4096,0,5,0,0,331180,197444,696550851565,8690136,0,0,10165292,0,7712608,10869,0,98432,11755,35183624,29983,0,0,579736,79.968,1314524,0,2857513740,25878258583,415272016234,2768914777,0,0,0,10532,0,0,0,98304,0,593809,0,46.999,27.254,3.378,0,10.301,0,0,0,2443824,2719934,0,Low (2),0,Idle,0,2361066,0,Low (1),Idle,1.134,Mid (4),Mid (5),Mid (4),Low (1),Low (1),8772,2.899,2306202091,0.342,4.143,3.549,0.942,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",16874732443,121658,1024,1,1,256,1,1,19,16,3072,17.882,88.447,100,3088000789,8036956057,25857140508,2764996958,91.168,0.026,0,25857140508,45.064,24576,4096,0,1,0,0,331204,197675,696939157309,8689556,0,0,10165292,0,7712028,10929,0,98502,11740,35183624,30555,0,0,579730,79.967,263032,0,2874681484,25909220930,415959493004,2772361866,0,0,0,10540,0,0,0,98304,0,593829,0,47.047,27.244,3.375,0,10.257,0,0,0,2443751,2718838,0,Low (2),0,Idle,0,2360459,0,Low (1),Idle,1.128,Mid (4),Mid (5),Mid (4),Low (1),Low (1),13015,2.881,3423367143,0.338,4.15,3.581,0.942,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",17297302875,121663,1024,1,1,256,1,1,19,16,3072,17.885,88.447,100,3117332303,7959034381,25856077854,2764883325,91.17,0.033,0,25856077854,45.065,24576,4096,0,8,0,0,331201,197609,696904202592,8689574,0,0,10165292,0,7712046,10910,0,98440,11852,35183624,30260,0,0,579745,79.969,2104173,0,2869565932,25891848795,415803522845,2774352103,0,0,0,10548,0,0,0,98304,0,594155,0,47.249,27.345,2.807,0,10.338,0,0,0,2443802,2718476,0,Low (2),0,Idle,0,2360253,0,Low (1),Idle,1.131,Mid (4),Mid (5),Mid (4),Low (1),Low (1),12934,2.941,3401921701,0.427,4.166,3.595,0.942,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",17725794075,121736,1024,1,1,256,1,1,19,16,3072,17.886,88.447,100,3069198922,5013866070,25840573043,2763225340,91.171,0.033,0,25840573043,45.117,24576,4096,0,4,0,0,331204,197574,696492606952,8690688,0,0,10165292,0,7713160,10922,0,98512,11676,35183624,19074,0,0,579712,79.97,1051455,0,2870999539,25895248734,415480580929,2772688440,0,0,0,10548,0,0,0,98304,0,593837,0,47.027,27.227,3.41,0,10.256,0,0,0,2443802,2718380,0,Low (2),0,Idle,0,2360231,0,Low (1),Idle,1.115,Mid (4),Mid (5),Mid (4),Low (1),Low (1),0,2.849,0,0.408,4.141,3.567,0.942,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",18142388315,121717,1024,1,1,256,1,1,19,16,3072,17.886,88.447,100,3089132988,7986263217,25844606751,2763656679,91.17,0.011,0,25844606751,44.857,24576,4096,0,5,0,0,331176,197606,696542438607,8689566,0,0,10165292,0,7712038,10989,0,98440,11750,35183624,30377,0,0,579710,79.969,1314524,0,2889062333,25880361822,415612741030,2766811538,0,0,0,10524,0,0,0,98304,0,593937,0,47.029,27.264,3.325,0,10.311,0,0,0,2443785,2719954,0,Low (2),0,Idle,0,2361008,0,Low (1),Idle,1.115,Mid (4),Mid (5),Mid (4),Low (1),Low (1),8826,2.888,2320398958,0.35,4.15,3.568,0.941,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",18559678939,121707,1024,1,1,256,1,1,19,16,3072,17.883,88.447,100,3087546320,4985350062,25846730262,2763883753,91.167,0.004,0,25846730262,45.094,24576,4096,0,1,0,0,331198,197673,696645944768,8689051,0,0,10165292,0,7711523,10878,0,98437,11743,35183624,18961,0,0,579722,79.966,262926,0,2860114866,25881699491,415787818284,2764935459,0,0,0,10516,0,0,0,98304,0,593847,0,46.969,27.252,3.409,0,10.285,0,0,0,2443791,2718468,0,Low (2),0,Idle,0,2360201,0,Low (1),Idle,1.128,Mid (4),Mid (5),Mid (4),Low (1),Low (1),2104,2.881,553197433,0.36,4.153,3.563,0.942,0
"vlc_encode_kernel_sm64huff(unsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*)",18993266267,121980,1024,1,1,256,1,1,19,16,3072,17.885,88.447,100,3060173798,7850991965,25788883423,2757697983,91.17,0.037,0,25788883423,45.076,24576,4096,0,9,0,0,331174,197621,695036432202,8689783,0,0,10165292,0,7712255,10887,0,98461,11665,35183624,29927,0,0,579713,79.969,2361042,0,2856074766,25830070503,414748122643,2768191506,0,0,0,10552,0,0,0,98304,0,593535,0,46.882,27.23,3.397,0,10.292,0,0,0,2443814,2718434,0,Low (2),0,Idle,0,2360253,0,Low (1),Idle,1.123,Mid (4),Mid (5),Mid (4),Low (1),Low (1),0,2.929,0,0.43,4.139,3.578,0.942,0
