Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"lud_diagonal(float*, int, int)",50948117,40874,1,1,1,16,1,1,36,1024,0,7.596,100,100,36796007,0,25052600,23486813,24.271,0,0,25052600,1.859,16,15,0,9,0,0,610,356,3820521602,873,0,0,1840,0,5192,36,1480,60,47,7510,0,0,0,341,22.96,7046043,0,28184175,46973626,2229681460,23486813,0,0,120,30,0,1240,0,32,0,1025,0,2.212,70.28,0,120,10.367,0,0,0,2365,2784,0,Low (1),0,Idle,0,2075,0,Low (1),Idle,0.023,Low (1),Low (1),Low (1),Low (1),Low (1),12,0.023,9394725,1.288,15.807,0,0.016,0
"lud_diagonal(float*, int, int)",1193154677,40910,1,1,1,16,1,1,36,1024,0,7.596,100,100,36763627,0,25030554,23466145,24.271,0,0,25030554,1.853,16,15,0,1,0,0,610,356,3817159618,873,0,0,1840,0,5192,38,1480,128,47,7510,0,0,0,341,22.957,782204,0,29723783,100122219,2227719384,23466145,0,0,120,30,0,1240,0,32,0,1026,0,2.207,70.224,0,120,10.486,0,0,0,2365,2785,0,Low (1),0,Idle,0,2078,0,Low (1),Idle,0.031,Low (1),Low (1),Low (1),Low (1),Low (1),0,0.023,0,1.278,15.744,0.008,0.016,0
"lud_diagonal(float*, int, int)",2340852053,40792,1,1,1,16,1,1,36,1024,0,7.596,100,100,36869974,0,25102961,23534026,24.271,0,0,25102961,1.858,16,15,0,4,0,0,610,356,3828201608,873,0,0,1840,0,5192,41,1480,115,47,7510,0,0,0,341,22.957,3137870,0,32163169,90213767,2234163561,23534026,0,0,120,30,0,1240,0,32,0,1025,0,2.219,70.614,0,120,10.558,0,0,0,2365,2784,0,Low (1),0,Idle,0,2075,0,Low (1),Idle,0.031,Low (1),Low (1),Low (1),Low (1),Low (1),15,0.023,11767013,1.285,15.261,0.008,0.016,0
"lud_diagonal(float*, int, int)",3736075413,40871,1,1,1,16,1,1,36,1024,0,7.596,100,100,35232805,0,25054439,23488537,24.271,0,0,25054439,1.858,16,15,0,9,0,0,610,356,3820802035,873,0,0,1840,0,5192,42,1480,64,45,7510,0,0,0,341,22.957,7046561,0,32883951,50108879,2229845122,23488537,0,0,120,30,0,1240,0,32,0,1025,0,2.133,67.727,0,120,13.94,0,0,0,2365,2784,0,Low (1),0,Idle,0,2075,0,Low (1),Idle,0.022,Low (1),Low (1),Low (1),Low (1),Low (1),14,0.022,10961317,1.235,14.913,0.007,0.016,0
"lud_diagonal(float*, int, int)",5584851829,40851,1,1,1,16,1,1,36,1024,0,7.596,100,100,38383393,0,25066705,23500036,24.271,0,0,25066705,1.836,16,15,0,10,0,0,610,356,3822672639,873,0,0,1840,0,5192,37,1480,96,49,7510,0,0,0,341,22.957,7833345,0,28983378,75200117,2230936819,23500036,0,0,120,30,0,1240,0,32,0,1028,0,2.23,70.957,0,120,10.594,0,0,0,2365,2791,0,Low (1),0,Idle,0,2082,0,Low (1),Idle,0.023,Low (1),Low (1),Low (1),Low (1),Low (1),14,0.023,10966683,1.291,14.874,0.008,0.016,0
"lud_diagonal(float*, int, int)",7289807605,40896,1,1,1,16,1,1,36,1024,0,7.596,100,100,35211267,0,25039123,23474178,24.271,0,0,25039123,1.853,16,15,0,5,0,0,610,356,3818466353,873,0,0,1840,0,5192,39,1480,87,45,7510,0,0,0,341,22.957,3912363,0,30516431,68075117,2228482003,23474178,0,0,120,30,0,1240,0,32,0,1026,0,2.211,70.247,0,120,10.378,0,0,0,2365,2785,0,Low (1),0,Idle,0,2078,0,Low (1),Idle,0.031,Low (1),Low (1),Low (1),Low (1),Low (1),13,0.023,10172143,1.28,15.823,0.008,0.016,0
"lud_diagonal(float*, int, int)",8457457493,40749,1,1,1,16,1,1,36,1024,0,7.596,100,100,38479471,0,25129451,23558860,24.271,0,0,25129451,1.857,16,15,0,10,0,0,610,356,3832241281,873,0,0,1840,0,5192,45,1480,96,49,7510,0,0,0,341,22.96,7852953,0,35338290,75388353,2236521141,23558860,0,0,120,30,0,1240,0,32,0,1025,0,2.221,70.529,0,120,10.379,0,0,0,2365,2783,0,Low (1),0,Idle,0,2074,0,Low (1),Idle,0.031,Low (1),Low (1),Low (1),Low (1),Low (1),19,0.023,14920611,1.294,15.515,0.008,0.016,0
"lud_diagonal(float*, int, int)",9630961557,40758,1,1,1,16,1,1,36,1024,0,7.596,100,100,35330487,0,25123902,23553658,24.271,0,0,25123902,1.812,16,15,0,5,0,0,610,356,3831395063,873,0,0,1840,0,5192,40,1480,99,45,7510,0,0,0,341,22.96,3925609,0,31404877,77727071,2236027282,23553658,0,0,120,30,0,1240,0,32,0,1025,0,2.221,70.535,0,120,10.396,0,0,0,2365,2783,0,Low (1),0,Idle,0,2076,0,Low (1),Idle,0.031,Low (1),Low (1),Low (1),Low (1),Low (1),14,0.023,10991707,1.286,15.5,0.008,0.016,0
"lud_diagonal(float*, int, int)",10820644277,40873,1,1,1,16,1,1,36,1024,0,7.596,100,100,36796907,0,25053213,23487387,24.271,0,0,25053213,1.828,16,15,0,1,0,0,610,356,3820615075,873,0,0,1840,0,5192,32,1480,87,47,7510,0,0,0,341,22.96,782912,0,25053213,68113424,2229736011,23487387,0,0,120,30,0,1240,0,32,0,1026,0,2.171,68.929,0,120,12.096,0,0,0,2365,2788,0,Low (1),0,Idle,0,2079,0,Low (1),Idle,0.023,Low (1),Low (1),Low (1),Low (1),Low (1),15,0.023,11743693,1.257,15.501,0,0.016,0
"lud_diagonal(float*, int, int)",12046070101,40856,1,1,1,16,1,1,36,1024,0,7.596,100,100,36812218,3916193,25063638,23497160,24.271,0,0,25063638,1.808,16,15,0,5,0,0,610,356,3822204816,873,0,0,1840,0,5192,33,1480,59,47,7510,5,0,0,341,22.957,3916193,0,25846876,46211082,2230663794,23497160,0,0,120,30,0,1240,0,32,0,1025,0,2.154,68.587,0,120,12.615,0,0,0,2365,2779,0,Low (1),0,Idle,0,2071,0,Low (1),Idle,0.03,Low (1),Low (1),Low (1),Low (1),Low (1),16,0.023,12531819,1.247,15.344,0,0.016,0
