Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"lud_internal(float*, int, int)",844796437,12253,15,15,1,16,16,1,21,2048,0,62.963,100,100,24632661389,0,56410674936,18803558312,100,0,0,56410674936,32.624,10800,3600,0,5,0,0,45000,3600,940177915612,57600,0,0,460800,0,1612800,7859,979200,21683,9432,1209600,0,0,0,5179,100,13058026,0,20524606218,56627438178,75214233249,18803558312,0,0,0,7200,0,921600,0,21600,57600,66233,0,7.645,13.921,8.351,0,2.809,0,0,0,135000,159650,0,Low (1),0,Idle,0,129295,0,Low (2),Idle,0.691,Mid (4),High (7),Low (2),Low (1),Low (1),1956,35.012,5108300008,4.422,4.112,23.038,0.779,0
"lud_internal(float*, int, int)",1980682325,11498,14,14,1,16,16,1,21,2048,0,62.81,100,100,26887458688,0,52366672464,17455557488,100,0.223,0,52366672464,31.953,9408,3136,0,10,0,0,39200,3239,872777874412,50176,0,0,401408,0,1404928,6646,852992,18941,9661,1053696,0,0,0,4482,100,27830927,0,18496434162,52714559053,72115498347,17611410680,0,0,0,6328,0,802816,0,18816,50176,57778,0,6.933,14.161,9.049,0,5.062,0,0,0,117600,139427,0,Low (1),0,Idle,0,112977,0,Low (2),Idle,0.683,Low (3),High (7),Low (2),Low (1),Low (1),2796,33.861,7781527222,3.609,3.66,22.981,0.758,0
"lud_internal(float*, int, int)",3371277269,10552,13,13,1,16,16,1,21,2048,0,62.885,100,100,21570887035,0,49200909780,16400303260,100,0.552,0,49200909780,31.119,8112,2704,0,8,0,0,33800,2749,820015163002,43264,0,0,346112,0,1211392,5479,735488,16337,7113,908544,0,0,0,3879,100,24260803,0,16615617892,49543593631,66692949203,16764215314,0,0,0,5528,0,692224,0,16224,43264,49781,0,6.907,14.218,9.186,0,5.375,0,0,0,101400,120474,0,Low (1),0,Idle,0,97680,0,Low (1),Idle,0.67,Low (3),High (7),Low (2),Low (1),Low (1),1668,33.306,5058377558,4.352,3.84,22.147,0.727,0
"lud_internal(float*, int, int)",4961519733,9567,12,12,1,16,16,1,21,2048,0,62.791,100,100,19744538517,0,46238946378,15412982126,100,2.476,0,46238946378,30.384,6912,2304,0,11,0,0,28800,2389,770649106302,36864,0,0,294912,0,1032192,5372,626688,13954,5903,774144,0,0,0,3331,100,36793143,0,17968433155,46673774432,63926413713,16978363123,0,0,0,5076,0,589824,0,13824,36864,42470,0,7.035,14.581,10.221,0,2.891,0,0,0,86400,103068,0,Low (1),0,Idle,0,83652,0,Low (1),Idle,0.617,Low (3),High (7),Low (2),Low (1),Low (1),1294,33.406,4328211560,5.138,3.676,22.436,0.703,0
"lud_internal(float*, int, int)",6928689045,8945,11,11,1,16,16,1,21,2048,0,62.828,100,100,18566797093,0,41555282280,13851760760,100,4.016,0,41555282280,28.119,5808,1936,0,2,0,0,24200,1992,692588038010,30976,0,0,247808,0,867328,3918,526592,11744,5190,650496,0,0,0,2781,100,7154835,0,14016321967,42013191727,57009726103,16169927333,0,0,0,4520,0,495616,0,11616,30976,35831,0,7.247,14.723,10.319,0,2.802,0,0,0,72600,87363,0,Low (1),0,Idle,0,71033,0,Low (1),Idle,0.563,Low (3),Mid (6),Low (2),Low (1),Low (1),1270,32.871,4543320290,6.142,3.684,21.648,0.689,0
"lud_internal(float*, int, int)",8096314389,8030,10,10,1,16,16,1,21,2048,0,62.951,100,100,16434371108,0,38256537982,12752179327,100,0.031,0,38256537982,26.692,4800,1600,0,5,0,0,20000,1604,637608966376,25600,0,0,204800,0,716800,3864,435200,9726,4124,537600,0,0,0,2311,100,19925280,0,15398256537,38758655043,51136239103,12768119551,0,0,0,3204,0,409600,0,9600,25600,29453,0,6.758,16.511,11.107,0,2.391,0,0,0,60000,72304,0,Low (1),0,Idle,0,58773,0,Low (1),Idle,0.834,Low (3),Mid (6),Low (2),Low (1),Low (1),364,29.794,1450560398,8.101,3.913,20.59,0.589,0
"lud_internal(float*, int, int)",9268764533,7528,9,9,1,16,16,1,21,2048,0,62.862,100,100,14537725823,0,33054197662,11018065887,100,5.711,0,33054197662,26.736,3888,1296,0,9,0,0,16200,1324,550903294367,20736,0,0,165888,0,580608,3214,352512,7909,3420,435456,0,0,0,1894,100,38257173,0,13662061636,33619553666,45024442082,13687566418,0,0,0,3220,0,331776,0,7776,20736,23997,0,7.551,17.831,12.321,0,2.012,0,0,0,48600,58798,0,Low (1),0,Idle,0,47823,0,Low (1),Idle,1.142,Low (2),Mid (6),Low (2),Low (1),Low (1),376,25.529,1598299681,12.164,4.22,17.231,0.496,0
"lud_internal(float*, int, int)",10437195445,6844,8,8,1,16,16,1,21,2048,0,62.741,100,100,12231443600,0,28727060198,9575686732,100,2.01,0,28727060198,25.18,3072,1024,0,1,0,0,12800,1073,478784336645,16384,0,0,131072,0,458752,2103,278528,6242,2616,344064,0,0,0,1519,100,4675628,0,9832846288,29185271770,40135593220,10361192285,0,0,0,2216,0,262144,0,6144,16384,19055,0,7.38,19.025,14.463,0,8.514,0,0,0,38400,46749,0,Low (1),0,Idle,0,38075,0,Low (1),Idle,1.528,Low (2),Mid (6),Low (2),Low (1),Low (1),86,20.004,402104032,12.199,4.393,12.494,0.418,0
"lud_internal(float*, int, int)",11669866549,6312,7,7,1,16,16,1,21,2048,0,62.868,100,100,10043092522,0,23847908745,7949302915,100,0.191,0,23847908745,22.693,2352,784,0,5,0,0,9800,800,397465145754,12544,0,0,100352,0,351232,1629,213248,4869,1981,263424,0,0,0,1157,100,25348542,0,8258555133,24684410646,32446134347,8010139416,0,0,0,1580,0,200704,0,4704,12544,14660,0,5.519,21.134,16.872,0,9.712,0,0,0,29400,35844,0,Low (1),0,Idle,0,29205,0,Low (1),Idle,1.364,Low (2),Mid (5),Low (2),Low (1),Low (1),241,16.646,1221799746,15.076,4.475,9.202,0.338,0
"lud_internal(float*, int, int)",12897556597,5806,6,6,1,16,16,1,21,2048,0,62.955,100,100,8035825008,0,19047881501,6349293833,100,4.398,0,19047881501,17.758,1728,576,0,9,0,0,7200,577,317464691698,9216,0,0,73728,0,258048,1154,156672,3629,1458,193536,0,0,0,847,100,49603858,0,6360316913,20001377884,25441267654,7517740268,0,0,0,1364,0,147456,0,3456,9216,10763,0,5.015,25.178,20.485,0,1.947,0,0,0,21600,26399,0,Low (1),0,Idle,0,21532,0,Low (1),Idle,1.146,Low (1),Mid (4),Low (1),Low (1),Low (1),136,14.092,749569410,19.751,5.063,7.323,0.269,0
