Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"lud_perimeter(float*, int, int)",446246165,60986,15,1,1,32,1,1,46,3072,0,12.843,100,100,718328796,0,755583248,487980848,58.443,0,0,755583248,1.736,720,465,0,1,0,0,14490,10680,60824451513,33120,0,0,25200,0,225840,937,65280,1724,1369,263040,0,0,0,3930,48.026,524710,0,491653822,904601055,44831272751,487980848,0,0,3840,930,0,57600,0,1440,0,27504,0,0.078,52.666,2.143,3840,8.298,0,0,0,39885,56611,0,Low (1),0,Idle,0,44560,0,Low (1),Idle,0.106,Low (1),Low (1),Low (1),Low (1),Low (1),439,0,230347948,0.805,35.901,0.003,0.016,0
"lud_perimeter(float*, int, int)",1572207445,60987,14,1,1,32,1,1,46,3072,0,12.843,100,100,671618541,0,705199468,455441323,58.443,0,0,705199468,1.737,672,434,0,0,0,0,13524,9968,56768557233,30912,0,0,23520,0,210784,873,60928,1667,1280,245504,0,0,0,3668,48.026,0,0,458064833,874678210,41841835145,455441323,0,0,3584,868,0,53760,0,1344,0,25673,0,0.08,53.537,2.193,3584,6.794,0,0,0,37226,52858,0,Low (1),0,Idle,0,41611,0,Low (1),Idle,0.104,Low (1),Low (1),Low (1),Low (1),Idle,408,0,214078410,0.818,36.474,0.002,0.016,0
"lud_perimeter(float*, int, int)",2722101077,61068,13,1,1,32,1,1,46,3072,0,12.843,100,100,622519158,0,653959520,422348857,58.443,0,0,653959520,1.709,624,403,0,4,0,0,12558,9256,52643741403,28704,0,0,21840,0,195728,813,56576,1601,1188,227968,0,0,0,3406,48.026,2096024,0,426016899,838933647,38801598218,422348857,0,0,3328,806,0,49920,0,1248,0,23839,0,0.08,53.511,2.216,3328,6.8,0,0,0,34567,49060,0,Low (1),0,Idle,0,38608,0,Low (1),Idle,0.103,Low (1),Low (1),Low (1),Low (1),Low (1),381,0,199646295,0.82,36.467,0.003,0.016,0
"lud_perimeter(float*, int, int)",4120768725,61044,12,1,1,32,1,1,46,3072,0,12.843,100,100,577157460,0,603892274,390013760,58.443,0,0,603892274,1.736,576,372,0,9,0,0,11592,8544,48613328091,26496,0,0,20160,0,180672,753,52224,1459,1101,210432,0,0,0,3144,48.026,4717908,0,394731668,764825371,35830941615,390013760,0,0,3072,744,0,46080,0,1152,0,22013,0,0.08,53.515,2.228,3072,6.79,0,0,0,31908,45310,0,Low (1),0,Idle,0,35665,0,Low (1),Idle,0.103,Low (1),Low (1),Low (1),Low (1),Low (1),315,0,165126793,0.823,36.461,0.002,0.016,0
"lud_perimeter(float*, int, int)",6421839509,61026,11,1,1,32,1,1,46,3072,0,12.843,100,100,530134696,0,553731196,357618064,58.443,0,0,553731196,1.735,528,341,0,5,0,0,10626,7832,44575361321,24288,0,0,18480,0,165616,687,47872,1225,1011,192896,0,0,0,2882,48.026,2621833,0,360239897,642349162,32854717661,357618064,0,0,2816,682,0,42240,0,1056,0,20181,0,0.08,53.584,2.221,2816,6.801,0,0,0,29249,41539,0,Low (1),0,Idle,0,32699,0,Low (1),Idle,0.102,Low (1),Low (1),Low (1),Low (1),Low (1),329,0,172516632,0.814,36.396,0.002,0.016,0
"lud_perimeter(float*, int, int)",7677919061,61012,10,1,1,32,1,1,46,3072,0,12.843,100,100,485674949,0,503507506,325181931,58.443,0,0,503507506,1.735,480,310,0,5,0,0,9660,7120,40532354290,22080,0,0,16800,0,150560,621,43520,1490,926,175360,0,0,0,2620,48.026,2622434,0,325706418,781485609,29874778732,325181931,0,0,2560,620,0,38400,0,960,0,18346,0,0.08,53.484,2.222,2560,6.781,0,0,0,26590,37763,0,Low (1),0,Idle,0,29727,0,Low (1),Idle,0.103,Low (1),Low (1),Low (1),Low (1),Low (1),306,0,160493017,0.827,36.501,0.002,0.016,0
"lud_perimeter(float*, int, int)",8852689013,61074,9,1,1,32,1,1,46,3072,0,12.843,100,100,434882273,0,452696728,292366637,58.443,0,0,452696728,1.735,432,279,0,5,0,0,8694,6408,36442086648,19872,0,0,15120,0,135504,570,39168,1168,830,157824,0,0,0,2358,48.026,2619772,0,298654091,611978910,26860005894,292366637,0,0,2304,558,0,34560,0,864,0,16507,0,0.08,53.479,2.231,2304,6.784,0,0,0,23931,33970,0,Low (1),0,Idle,0,26737,0,Low (1),Idle,0.102,Low (1),Low (1),Low (1),Low (1),Low (1),271,0,141991682,0.822,36.502,0.001,0.016,0
"lud_perimeter(float*, int, int)",10020549397,61104,8,1,1,32,1,1,46,3072,0,12.843,100,100,390154490,0,402199528,259753862,58.443,0,0,402199528,1.735,384,248,0,5,0,0,7728,5696,32377062058,17664,0,0,13440,0,120448,506,34816,1296,745,140288,0,0,0,2096,48.026,2618486,0,264990835,678711704,23863838701,259753862,0,0,2048,496,0,30720,0,768,0,14666,0,0.079,53.456,2.243,2048,6.794,0,0,0,21272,30204,0,Low (1),0,Idle,0,23776,0,Low (1),Idle,0.102,Low (1),Low (1),Low (1),Low (1),Low (1),249,0,130400628,0.824,36.5,0.002,0.016,0
"lud_perimeter(float*, int, int)",11234318197,60933,7,1,1,32,1,1,46,3072,0,12.843,100,100,335581704,0,352912215,227922472,58.443,0,0,352912215,1.704,336,217,0,13,0,0,6762,4984,28409433311,15456,0,0,11760,0,105392,438,30464,984,639,122752,0,0,0,1834,48.026,6827170,0,230023140,516764314,20939458093,227922472,0,0,1792,434,0,26880,0,672,0,12834,0,0.08,53.633,2.259,1792,6.804,0,0,0,18613,26390,0,Low (1),0,Idle,0,20766,0,Low (1),Idle,0.102,Low (1),Low (1),Low (1),Low (1),Low (1),204,0,107134065,0.818,36.301,0.004,0.016,0
"lud_perimeter(float*, int, int)",12456670165,61008,6,1,1,32,1,1,46,3072,0,12.843,100,100,291109362,0,302124311,195121951,58.443,0,0,302124311,1.733,288,186,0,5,0,0,5796,4272,24321007081,13248,0,0,10080,0,90336,377,26112,672,555,105216,0,0,0,1572,48.026,2622606,0,197744558,352478363,17926042486,195121951,0,0,1536,372,0,23040,0,576,0,10995,0,0.078,52.316,2.203,1536,9.002,0,0,0,15954,22635,0,Low (1),0,Idle,0,17811,0,Low (1),Idle,0.104,Low (1),Low (1),Low (1),Low (1),Low (1),183,0,95987411,0.808,35.487,0.002,0.016,0
