Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"needle_cuda_shared_1(int*, int*, int, int, int, int)",50827911,21741,1,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,73593670,173681063,97143645,67706177,50,0,0,97143645,1.531,35,17,0,4,0,0,301,107,3544271192,80,0,16,785,0,2370,53,0,128,50,3810,118,0,0,70,36.904,5887493,0,78009291,188399797,1259923646,67706177,0,0,0,46,0,0,0,66,0,511,0,6.483,42.971,15.107,0,6.363,0,0,0,598,994,0,Low (1),0,Idle,0,830,0,Low (1),Idle,0.12,Low (1),Low (1),Low (1),Low (1),Low (1),0,0,0,3.324,25.618,0.015,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",455484007,22507,2,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,160661127,332696494,187674945,130803749,50,0,0,187674945,1.546,98,60,0,5,0,0,602,214,6847291953,160,0,32,1570,0,4740,97,0,321,113,7620,234,0,0,140,36.899,7108899,0,137912649,456391344,2434087172,130803749,0,0,0,92,0,0,0,132,0,1124,0,6.409,44.389,13.733,0,1.934,0,0,0,1196,2110,0,Low (1),0,Idle,0,1762,0,Low (1),Idle,0.096,Low (1),Low (1),Low (1),Low (1),Low (1),107,0,152130448,3.323,30.109,0.007,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",852091463,21501,3,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,218780521,589367936,294683968,205385796,50,0,0,294683968,1.526,105,51,0,6,0,0,903,321,10751499930,240,0,48,2355,0,7110,144,0,254,147,11430,396,0,0,210,36.901,8929817,0,214315613,378028928,3821961769,205385796,0,0,0,138,0,0,0,198,0,1542,0,6.779,45.15,15.619,0,2.083,0,0,0,1794,2976,0,Low (1),0,Idle,0,2488,0,Low (1),Idle,0.135,Low (1),Low (1),Low (1),Low (1),Low (1),230,0,342309660,3.551,26.667,0.016,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",1258333159,22325,4,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,323941769,785487122,378409854,263740201,50,0,0,378409854,1.492,196,120,0,0,0,0,1204,428,13806226203,320,0,64,3140,0,9480,190,0,369,226,15240,548,0,0,280,36.896,0,0,272340425,528913773,4907861142,263740201,0,0,0,184,0,0,0,264,0,2250,0,6.496,45.097,12.43,0,1.949,0,0,0,2392,4217,0,Low (1),0,Idle,0,3521,0,Low (1),Idle,0.101,Low (1),Low (1),Low (1),Low (1),Idle,347,0,497379619,3.396,30.52,0.011,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",1664008615,21578,5,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,355918064,880897210,489387338,341088145,50,0,0,489387338,1.523,175,85,0,5,0,0,1505,535,17855222912,400,0,80,3925,0,11850,234,0,605,240,19050,594,0,0,350,36.902,7414959,0,347020113,897210121,6347205487,341088145,0,0,0,230,0,0,0,330,0,2570,0,6.781,45.06,15.729,0,2.052,0,0,0,2990,4947,0,Low (1),0,Idle,0,4139,0,Low (1),Idle,0.131,Low (1),Low (1),Low (1),Low (1),Low (1),300,0,444897580,3.531,26.701,0.016,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",2076424231,22530,6,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,467288060,1096493564,562450066,392010652,50,0,0,562450066,1.494,294,180,0,9,0,0,1806,642,20520905459,480,0,96,4710,0,14220,283,0,492,329,22860,772,0,0,420,36.901,12782956,0,401952951,698801597,7294806924,392010652,0,0,0,276,0,0,0,396,0,3369,0,6.456,44.735,13.124,0,1.914,0,0,0,3588,6326,0,Low (1),0,Idle,0,5282,0,Low (1),Idle,0.112,Low (1),Low (1),Low (1),Low (1),Low (1),479,0,680337328,3.304,30.346,0.01,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",2492849319,21559,7,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,492787235,1041977828,685746092,477944246,50,0,0,685746092,1.526,245,119,0,7,0,0,2107,749,25019342270,560,0,112,5495,0,16590,323,0,742,332,26670,702,0,0,490,36.901,10390092,0,479428544,1101349784,8893919012,477944246,0,0,0,322,0,0,0,462,0,3608,0,6.832,45.363,15.284,0,1.976,0,0,0,4186,6931,0,Low (1),0,Idle,0,5796,0,Low (1),Idle,0.133,Low (1),Low (1),Low (1),Low (1),Low (1),306,0,454195463,3.505,26.892,0.016,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",2915809511,22307,8,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,644102748,1428789169,757430403,527906038,50,0,0,757430403,1.558,392,240,0,1,0,0,2408,856,27634733491,640,0,128,6280,0,18960,379,0,788,449,30480,996,0,0,560,36.898,1434527,0,543685838,1130407495,9823642802,527906038,0,0,0,368,0,0,0,528,0,4500,0,6.526,45.334,11.984,0,2.036,0,0,0,4784,8436,0,Low (1),0,Idle,0,7044,0,Low (1),Idle,0.109,Low (1),Low (1),Low (1),Low (1),Low (1),632,0,906621239,3.348,30.659,0.004,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",3332880007,21581,9,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,636115101,1598443074,880774755,613873314,50,0,0,880774755,1.462,315,153,0,5,0,0,2709,963,32134933506,720,0,144,7065,0,21330,420,0,764,429,34290,1078,0,0,630,36.895,7413928,0,622770029,1132848338,11423381678,613873314,0,0,0,414,0,0,0,594,0,4615,0,6.531,43.365,14.966,0,5.953,0,0,0,5382,8905,0,Low (1),0,Idle,0,7450,0,Low (1),Idle,0.124,Low (1),Low (1),Low (1),Low (1),Low (1),595,0,882257541,3.334,25.711,0.015,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",3758461063,22434,10,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,753142551,1738789337,941428189,656146919,50,0,0,941428189,1.543,490,300,0,9,0,0,3010,1070,34347864847,800,0,160,7850,0,23700,462,0,935,528,38100,1219,0,0,700,36.9,12837657,0,658999732,1333689934,12210038334,656146919,0,0,0,460,0,0,0,660,0,5627,0,6.501,45.04,12.545,0,1.939,0,0,0,5980,10538,0,Low (1),0,Idle,0,8798,0,Low (1),Idle,0.111,Low (1),Low (1),Low (1),Low (1),Low (1),739,0,1054114290,3.339,30.518,0.006,0.016,0
